Compound name in figures,Complete compound name,1314_A,1314_B,1314_C,1314P_A,1314P_B,1314P_C,1545_A,1545_B,1545_C,1771_A,1771_B,1771_C,2021_A,2021_B,2021_C,2090_A,2090_B,2090_C,3430_A,3430_B,3430_C,371_A,371_B,371_C,449_A,449_B,449_C,7803_B,7803_F,8102_A,8102_F,8501_B,8501_C,8501_D,As9601_A,As9601_B,As9601_C,Cy_A,Cy_B,Cy_C,MED4_D,MED4_E,MED4_F,Nat_A,Nat_B,Nat_C,Nmar_1,Nmar_2,Nmar_3,Np_A,Np_C,Np_F,Pc55x_A,Pc55x_B,Pc55x_C,Pt_C,Pt_F,To_A,To_B,To_C,Tp_A,Tp_E,Tp_F
4-Hydroxyisoleucine,Hydroxyisoleucine,NA,NA,NA,553.0197316342346,444.1545055862723,458.18528079434975,338.05459402547814,342.4885465798985,337.0658677135996,465.97676413098196,612.9471559234696,802.5268146135012,251.58319212658134,83.67809701091451,404.0176905659618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.17630346661254,84.8810652997403,NA,NA,NA,NA,NA,NA,NA,1881.1091992292615,NA,NA,NA,3107.047053223053,2890.190379202097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetyl-L-carnitine,O-Acetylcarnitine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1146.4450141852092,686.7059775905353,670.0962189751478,66.0718021026541,47.91523851870605,59.33018624554719,NA,NA,NA,20.006391650623453,21.644725735791315,24.875822271941406,156.8939949486555,128.51053122279788,103.57798195262562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.27554066525144,336.14256200767966,194.0892805891664,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.06063274690511,87.22270795147338,82.84010738805773,30.28814243247737,32.76046705102391,37.88424736220248,12.351527669871636,12.968598986114928,154.95089349152553,132.84010758880578,84.61483992259394,185.19704121917235,200.18916349000943,98.23434282887766
Adenine,Adenine,261.17437912611837,343.14712359493114,223.6322468945729,123.95060010855393,62.01544283711295,144.8730680913935,36.19883271389465,28.01551833251264,37.81342703049696,53.00553917117471,47.16110081483233,93.45955869158024,57.87577525362508,33.95584455283045,44.06730918242225,NA,NA,NA,73.27476558874139,127.47172585610372,94.66340118406184,NA,NA,NA,303.4540410798297,295.36226863794025,162.6641771293774,14.857346969339385,17.60432517686923,NA,NA,NA,NA,NA,88.28113370302412,119.99958363209072,72.53643897027219,NA,NA,NA,NA,NA,NA,400.93032995584707,398.95831723207016,308.87312562048373,2.3227938037182943e-5,2.4180894883731234e-5,6.630764853028237e-5,28.935784564789298,16.205210293690904,13.365303934272825,8.164960342120727,6.872884252097323,12.917468817729576,5.281402828652439,5.165609982092134,NA,NA,NA,NA,NA,NA
Adenosine,Adenosine,660.5689951832251,824.6688615878234,554.3138561819133,13.37515644219309,8.418907512493783,14.766815606132576,6.787280832783639,2.9652315261691946,5.819740378136268,77.03986769096464,84.36981313462132,155.54599063428407,132.94923257179306,58.70382073206715,70.54187321232565,1190.7882589123471,808.5504665842556,853.5463562245906,21.498505471452493,45.37006360863289,21.227293290730607,1111.8920309984574,1413.4703954694776,1353.3432489296304,2844.451760850968,2259.145275311992,1585.9833119982604,1106.1065662196988,1467.1970790961661,577.8784423892531,718.3881455838448,5.559499967915293,4.151996380285461,5.728480166690998,15.722146311029544,16.30582246826264,14.944474533384067,3.451994425574007,5.9326950222593045,2.699424280349304,37.341071964103364,36.43155865275086,38.295510987628724,66.49043478144652,76.52211663453066,60.02064928793676,3.314292787987458e-6,3.2931804731951203e-6,9.019982842098883e-6,22.125222904101275,40.69045998946301,25.45400938241958,3.9340521896774616,5.296402312465312,3.1732465869284137,1.82654065918967,1.4448003193847505,0.7995025274148847,0.8090055515823313,48.799252905730924,2.4693898008500885,6.208048871560024,1.1617699456282398
SAH,S-Adenosylhomocysteine,1.3036771602461328,1.5719668721872788,0.7045523425701832,14.159773652048862,6.687716409420103,NA,NA,NA,0.9866744450013707,NA,NA,NA,NA,NA,NA,9.28346282480853,11.75970637666164,14.877989377013307,14.203767405702406,13.003072146807428,11.695658599160183,NA,4.012632196772512,NA,NA,3.378202450988659,NA,178.70978726284545,334.4856157508493,325.65018823035234,640.941573356056,1.2203326620511812,0.2389362379413703,0.6850640532844986,3.364164638311499,1.7827116375933743,4.568866842908963,10.937597277189372,20.980487240620747,11.315605260536035,122.90827496334671,153.36124714998692,231.7050085369015,NA,NA,NA,NA,NA,NA,9.228336990625817,9.149498894551453,11.87858535809581,0.7655272204453503,0.9393294711868796,0.8017520414252258,2.678153342001819,2.617369803930681,6.402752642260361,2.221548866547918,1.8400257380750908,13.801999399575342,9.939141307311669,5.912524239337017
SAM,S-Adenosylmethionine,270.6879794393181,278.4033063365832,185.67335748673742,818.8815052619277,599.7275643089737,590.0905396775629,238.84607127613612,273.46317485930393,230.24391421347175,15.299269947993588,21.45278521372249,34.93322382226233,127.11466999381489,62.86561834675025,29.892698992059813,54.74481868796847,85.390873566191,60.07791796643992,2999.9882906509224,2901.8138353151967,2976.5051200149846,69.15920719250731,77.25145986248607,72.63345884431222,48.42008243056701,42.55690981826982,33.36608440791414,6351.37939746898,14174.92171765869,24376.55299941909,10683.145364674683,286.20787403319383,798.4143177781327,428.535395367065,1488.1385264084936,1095.9078327901957,1250.940228592418,357.5165196246057,706.6065141169254,504.0975168787778,1851.6835418938438,7345.395075048943,12821.779699784409,2229.5200649291146,2279.9012780739176,2759.1672976915115,3.304896887525585e-5,3.800974218674011e-5,1.336611735038228e-4,150.5456387220899,195.41670841125085,167.43093161806505,80.20207846205939,92.43867441190997,86.66726565992957,42.088401620873334,38.35323918733567,315.5481533600691,67.9673228424514,75.2991175405636,93.18397919500364,99.54766656941624,52.464678120301805
Agmatine,Agmatine,NA,NA,NA,55.43508276095456,27.44375490782175,54.28973891711496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.79703099484976,146.10183572136532,100.28941368689723,91.43607822301735,0.9009270095118189,0.6573784807883047,0.8589361259980308,55.05098882095116,47.37947509619201,39.48340247879639,NA,NA,NA,57.195886363862655,144.24060340886564,156.24953205118578,172.41881485233174,121.78113358646951,175.45971502859337,4.438474808511757e-6,4.582671100969805e-6,1.9130189711187e-5,NA,NA,NA,NA,NA,NA,0.022779999029226214,0.020352681204059,NA,NA,NA,NA,NA,NA
Alanine,L-Alanine,NA,NA,NA,NA,NA,NA,NA,4546.062401552634,NA,267.9195726602721,273.4545908962648,605.3330656082597,120.43624508831974,73.17148326278061,189.45543962832545,729.2469190103718,707.726623055286,737.3335981949165,21475.64661314274,21093.81520670585,19005.810503490884,373.84794272551164,460.87776087806213,NA,NA,NA,NA,2507.139914835197,2912.6789845683525,6049.743846707922,5521.700050181827,190.69391641186073,176.5522100312441,149.53783724207037,NA,NA,NA,631.3021111551441,1828.6889353156457,994.3842062523076,3160.697011198039,3730.960602768672,3618.2236895609826,NA,NA,NA,NA,NA,NA,1677.7999424089014,1359.8132140735809,1305.9105135955863,111.44734643121832,106.31105469953468,NA,337.21897831994704,383.13619622567114,1274.0021688351715,733.4042577701535,814.6626973955327,1065.0217010431174,699.2111324011782,375.64606144829094
Allopurinol,Allopurinol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4186457124257097,1.3927544139529908,NA,NA,NA,59.701342109646205,42.54323025847972,44.83489630864363,2.483666642449685,4.777430777852453,2.4592994146840907
APA,Amino Propanesulfonic Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6301.78145166777,6679.806942926269,6830.323990958327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
