cluster_overlap,pval.01,pval.05,pval.1,count,pval
MGL_a&Org_a,20,16,15,25,0.01
MGL_a&Org_b,11,9,8,3,not sig
MGL_a&Org_c,13,10,9,7,not sig
MGL_a&Org_d,24,18,17,11,not sig
MGL_a&Org_e,17,14,13,10,not sig
MGL_a&Org_f,20,15,15,10,not sig
MGL_a&Org_g,15,11,10,7,not sig
MGL_a&Org_NA,26,20,19,6,not sig
MGL_b&Org_a,19,14,13,11,not sig
MGL_b&Org_b,10,8,7,3,not sig
MGL_b&Org_c,11,9,8,12,0.01
MGL_b&Org_d,21,16,15,4,not sig
MGL_b&Org_e,16,13,12,18,0.01
MGL_b&Org_f,18,14,13,7,not sig
MGL_b&Org_g,13,10,9,8,not sig
MGL_b&Org_NA,21,17,16,5,not sig
MGL_c&Org_a,18,13,12,7,not sig
MGL_c&Org_b,11,7,6,2,not sig
MGL_c&Org_c,11,8,8,1,not sig
MGL_c&Org_d,19,15,13,8,not sig
MGL_c&Org_e,15,12,11,9,not sig
MGL_c&Org_f,19,13,12,20,0.01
MGL_c&Org_g,12,9,8,6,not sig
MGL_c&Org_NA,21,16,15,8,not sig
MGL_d&Org_a,12,9,8,NA,NA
MGL_d&Org_b,8,5,4,3,not sig
MGL_d&Org_c,8,6,5,5,not sig
MGL_d&Org_d,15,10,9,11,0.05
MGL_d&Org_e,11,8,7,3,not sig
MGL_d&Org_f,12,9,8,3,not sig
MGL_d&Org_g,12,6,5,3,not sig
MGL_d&Org_NA,15,11,10,9,not sig
MGL_e&Org_a,3,2,2,1,not sig
MGL_e&Org_b,2,1,1,1,not sig
MGL_e&Org_c,3,1,1,NA,NA
MGL_e&Org_d,3,2,2,2,not sig
MGL_e&Org_e,4,2,1,NA,NA
MGL_e&Org_f,4,2,2,NA,NA
MGL_e&Org_g,3,1,1,NA,NA
MGL_e&Org_NA,4,2,2,NA,NA
MGL_f&Org_a,3,2,1,NA,NA
MGL_f&Org_b,3,1,1,1,not sig
MGL_f&Org_c,3,1,1,NA,NA
MGL_f&Org_d,3,2,2,2,not sig
MGL_f&Org_e,3,2,1,NA,NA
MGL_f&Org_f,4,2,1,NA,NA
MGL_f&Org_g,3,1,1,NA,NA
MGL_f&Org_NA,3,2,2,1,not sig
MGL_g&Org_a,9,6,5,NA,NA
MGL_g&Org_b,6,4,3,NA,NA
MGL_g&Org_c,6,4,3,NA,NA
MGL_g&Org_d,9,7,6,6,not sig
MGL_g&Org_e,8,6,5,NA,NA
MGL_g&Org_f,9,6,5,3,not sig
MGL_g&Org_g,7,5,4,1,not sig
MGL_g&Org_NA,9,7,7,13,0.01
MGL_NA&Org_a,14,9,8,1,not sig
MGL_NA&Org_b,8,5,4,8,0.05
MGL_NA&Org_c,8,6,5,NA,NA
MGL_NA&Org_d,13,10,9,9,not sig
MGL_NA&Org_e,10,8,7,NA,NA
MGL_NA&Org_f,11,9,8,1,not sig
MGL_NA&Org_g,10,6,5,3,not sig
MGL_NA&Org_NA,15,11,10,16,0.01
